role_code,role_label,lot,scope_level,description,status,source,validation_note
ADM_SYS,Super administrateur technique,common,global,Administration technique de la plateforme sans validation métier,proposed,kci_proposal,À valider PAOMA
ADM_FONC,Administrateur fonctionnel,common,global,Paramétrage fonctionnel et gestion des référentiels,proposed,kci_proposal,À valider PAOMA
AUDIT,Auditeur,common,global,Consultation des traces d'audit et contrôles,proposed,kci_proposal,À valider PAOMA
CONSULT,Consultation,common,global,Accès lecture seule selon périmètre,proposed,kci_proposal,À valider PAOMA
SUPPORT,Support technique,common,global,Assistance technique sans validation métier,proposed,kci_proposal,À valider PAOMA
AGT_TRES,Agent Trésorerie,lot1,global,Saisie et consultation des opérations de trésorerie autorisées,proposed,kci_proposal,À valider PAOMA
RESP_TRES,Responsable Trésorerie,lot1,global,Supervision des flux de trésorerie et validations selon délégation,proposed,kci_proposal,À valider PAOMA
COMPT_TRES,Comptable Trésorerie,lot1,global,Contrôle comptable et rapprochements liés au Lot 1,proposed,kci_proposal,À valider PAOMA
RESP_BUD,Responsable Budget,lot1,global,Suivi budgétaire et contrôle de l'exécution budgétaire,proposed,kci_proposal,À valider PAOMA
VERIF_TRES,Vérificateur Trésorerie,lot1,global,Vérification des opérations avant validation ou clôture,proposed,kci_proposal,À valider PAOMA
DAF_DEC,Directeur financier / Décideur,lot1,global,Décision et validation supérieure sur opérations sensibles,proposed,kci_proposal,À valider PAOMA
AGT_GUICHET,Agent guichet,lot2,counter,Saisie des opérations guichet selon habilitation,proposed,kci_proposal,À valider PAOMA
CAISSIER,Caissier,lot2,counter,"Gestion de caisse: encaissements, décaissements et clôture caisse selon droit",proposed,kci_proposal,À valider PAOMA
CHEF_AGENCE,Chef d'agence,lot2,agency,Supervision agence et validation journalière,proposed,kci_proposal,À valider PAOMA
RESP_REG,Responsable régional,lot2,region,Supervision des agences d'une région ou direction régionale,proposed,kci_proposal,À valider PAOMA
VERIF_OPS,Vérificateur opérations,lot2,region,"Vérification des opérations agences, caisse, valeurs, écarts",proposed,kci_proposal,À valider PAOMA
COMPT_SIEGE,Comptable siège,lot2,global,Contrôle comptable central des opérations agences,proposed,kci_proposal,À valider PAOMA
SUP_OPS,Superviseur opérations,lot2,global,Pilotage opérationnel et suivi des anomalies,proposed,kci_proposal,À valider PAOMA
RESP_VP,Responsable valeurs postales,lot2,global,Suivi des stocks et mouvements de valeurs postales,proposed,kci_proposal,À valider PAOMA
